,SampleID,GA,predicted.GA
0,I1,11.0,13.8
1,W1,11.0,11.6
2,B1,11.0,11.4
3,I2,15.0,15.8
4,W2,18.0,14.8
5,B2,16.0,19.5
6,I3,25.0,26.6
7,W3,27.0,25.8
8,B3,27.0,27.0
9,I4,2.57142857142857,-1.0285714285714305
10,W4,0.571428571428569,0.7142857142857124
11,B4,0.571428571428569,8.128571428571428
